Gene ID,source_id,Product Description,Gene Type,Input ID,# Transcripts,Transcript Length,Genomic Location (Transcript),Genomic Location (Gene),Gene Name or Symbol
Tb08.27P2.70,Tb08.27P2.70:mRNA,hypothetical protein,protein coding,Tb08.27P2.70,1,828,Tbrucei.chr8.100:5910..6725(+),"Tbrucei.chr8.100:5,898..6,725(+)",N/A
Tb08.27P2.80,Tb08.27P2.80:mRNA,hypothetical protein,protein coding,Tb08.27P2.80,1,1811,Tbrucei.chr8.100:7871..8815(+),"Tbrucei.chr8.100:7,005..8,815(+)",N/A
Tb08.27P2.90,Tb08.27P2.90:mRNA,hypothetical protein,protein coding,Tb08.27P2.90,1,858,Tbrucei.chr8.100:8915..9760(+),"Tbrucei.chr8.100:8,903..9,760(+)",N/A
Tb09.v4.0009,Tb09.v4.0009:mRNA,"receptor-type adenylate cyclase, putative",protein coding,Tb09.v4.0009,1,3831,TP26M21-2a10.p1k:785..4513(+),"TP26M21-2a10.p1k:683..4,513(+)",N/A
Tb09.v4.0011,Tb09.v4.0011:mRNA,"variant surface glycoprotein (VSG), putative",protein coding,Tb09.v4.0011,1,1448,TP26M21-2a10.p1k:12932..14353(+),"TP26M21-2a10.p1k:12,906..14,353(+)",N/A
Tb09.v4.0013,Tb09.v4.0013:mRNA,"retrotransposon hot spot (RHS) protein, putative",protein coding,Tb09.v4.0013,1,5136,TP26M21-2a10.p1k:26702..28462(-),"TP26M21-2a10.p1k:26,702..31,837(-)",N/A
Tb09.v4.0014,Tb09.v4.0014:mRNA,hypothetical protein,protein coding,Tb09.v4.0014,1,4142,TP26M21-2a10.p1k:35774..36460(-),"TP26M21-2a10.p1k:32,501..36,642(-)",N/A
Tb09.v4.0015,Tb09.v4.0015:mRNA,hypothetical protein,protein coding,Tb09.v4.0015,1,997,TP26M21-2a10.p1k:37921..38619(-),"TP26M21-2a10.p1k:37,901..38,897(-)",N/A
Tb09.v4.0016,Tb09.v4.0016:mRNA,"expression site- associated gene (ESAG) protein, putative",protein coding,Tb09.v4.0016,1,1678,TP26P4-1a02.q1ka:318..1775(-),"TP26P4-1a02.q1ka:142..1,819(-)",N/A
Tb09.v4.0017,Tb09.v4.0017:mRNA,"rab1 (small gtp-binding protein rab1, putative)",protein coding,Tb09.v4.0017,1,2942,TP26P4-1a02.q1ka:9308..10138(+),"TP26P4-1a02.q1ka:7,197..10,138(+)",N/A
Tb09.v4.0018,Tb09.v4.0018:mRNA,"expression site-associated gene 3 (ESAG3) protein, putative",protein coding,Tb09.v4.0018,1,1273,TP26P4-1a02.q1ka:10550..11737(+),"TP26P4-1a02.q1ka:10,465..11,737(+)",N/A
Tb09.v4.0024,Tb09.v4.0024:pseudogenic_transcript,"variant surface glycoprotein, degenerate",protein coding,Tb09.v4.0024,1,1110,TP26P4-3b07.q1k:10372..11481(-),"TP26P4-3b07.q1k:10,372..11,481(-)",N/A
Tb09.v4.0037,Tb09.v4.0037:pseudogenic_transcript,"variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb09.v4.0037,1,1398,TP26P4-5g04.p1k:5948..7345(-),"TP26P4-5g04.p1k:5,948..7,345(-)",N/A
Tb09.v4.0041,Tb09.v4.0041:pseudogenic_transcript,"leucine-rich repeat protein (LRRP), fragment",protein coding,Tb09.v4.0041,1,1935,TP26P4-6c09.p1k:1327..2803(+),"TP26P4-6c09.p1k:865..2,803(+)",N/A
Tb09.v4.0042,Tb09.v4.0042:pseudogenic_transcript,"leucine-rich repeat protein (LRRP, pseudogene), putative",protein coding,Tb09.v4.0042,1,3999,TP26P4-6c09.p1k:8439..9041(+),"TP26P4-6c09.p1k:5,043..9,041(+)",N/A
Tb09.v4.0056,Tb09.v4.0056:pseudogenic_transcript,"variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb09.v4.0056,1,2025,Tp_ends-40b06.q1k:4161..5228(-),"Tp_ends-40b06.q1k:4,161..6,185(-)",N/A
Tb09.v4.0058,Tb09.v4.0058:mRNA,hypothetical protein,protein coding,Tb09.v4.0058,1,1941,tryp_IXa-16h03.q1c:1521..2753(+),"tryp_IXa-16h03.q1c:1,491..3,431(+)",N/A
Tb09.v4.0059,Tb09.v4.0059:mRNA,hypothetical protein,protein coding,Tb09.v4.0059,1,2830,tryp_IXa-16h03.q1c:4377..5645(+),"tryp_IXa-16h03.q1c:4,347..7,176(+)",N/A
Tb09.v4.0060,Tb09.v4.0060:mRNA,hypothetical protein,protein coding,Tb09.v4.0060,1,2466,tryp_IXa-16h03.q1c:7417..9852(+),"tryp_IXa-16h03.q1c:7,387..9,852(+)",N/A
Tb09.v4.0063,Tb09.v4.0063:pseudogenic_transcript,"variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb09.v4.0063,1,1649,tryp_IXb-1c10.p1c:8367..9943(+),"tryp_IXb-1c10.p1c:8,293..9,943(+)",N/A
Tb09.v4.0064,Tb09.v4.0064:mRNA,hypothetical protein,protein coding,Tb09.v4.0064,1,2822,tryp_IXb-1c10.p1c:11934..12620(+),"tryp_IXb-1c10.p1c:10,897..13,718(+)",N/A
Tb09.v4.0065,Tb09.v4.0065:mRNA,"expression site-associated gene 1 (ESAG 1), putative",protein coding,Tb09.v4.0065,1,982,tryp_IXb-1c10.p1c:14768..15739(-),"tryp_IXb-1c10.p1c:14,768..15,749(-)",N/A
Tb09.v4.0066,Tb09.v4.0066:mRNA,hypothetical protein,protein coding,Tb09.v4.0066,1,4531,tryp_IXb-217g08.q1c:4828..5154(+),"tryp_IXb-217g08.q1c:624..5,154(+)",N/A
Tb09.v4.0067,Tb09.v4.0067:pseudogenic_transcript,"retrotransposon hot spot protein, pseudogene",protein coding,Tb09.v4.0067,1,1694,tryp_IXb-217g08.q1c:5235..6881(-),"tryp_IXb-217g08.q1c:5,188..6,881(-)",N/A
Tb09.v4.0083,Tb09.v4.0083:pseudogenic_transcript,"expression site-associated gene 3 (ESAG3), pseudogene",protein coding,Tb09.v4.0083,1,1009,tryp_IXb-217g08.q1c:60688..61655(+),"tryp_IXb-217g08.q1c:60,642..61,655(+)",N/A
Tb09.v4.0104,Tb09.v4.0104:pseudogenic_transcript,"leucine-rich repeat protein 1 (LRRP1), fragment",protein coding,Tb09.v4.0104,1,2207,tryp_IXb-218d07.p1c:52495..53097(-),"tryp_IXb-218d07.p1c:52,495..54,701(-)",N/A
Tb09.v4.0105,Tb09.v4.0105:mRNA,hypothetical protein,protein coding,Tb09.v4.0105,1,1862,tryp_IXb-218d07.p1c:58803..59501(-),"tryp_IXb-218d07.p1c:58,803..60,664(-)",N/A
Tb09.v4.0106,Tb09.v4.0106:mRNA,"nucleoside transporter 1, putative",protein coding,Tb09.v4.0106,1,3180,tryp_IXb-218d07.p1c:69707..71155(+),"tryp_IXb-218d07.p1c:69,663..72,842(+)",N/A
Tb09.v4.0107,Tb09.v4.0107:mRNA,"expression site-associated gene 5 (ESAG5) protein, putative",protein coding,Tb09.v4.0107,1,1570,tryp_IXb-218d07.p1c:86960..88417(+),"tryp_IXb-218d07.p1c:86,848..88,417(+)",N/A
Tb09.v4.0109,Tb09.v4.0109:mRNA,hypothetical protein,protein coding,Tb09.v4.0109,1,977,tryp_IXb-218d07.p1c:92291..92989(+),"tryp_IXb-218d07.p1c:92,013..92,989(+)",N/A
Tb09.v4.0143,Tb09.v4.0143:pseudogenic_transcript,"variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb09.v4.0143,1,5709,tryp_IXb-218d07.p1c:202563..203631(-),"tryp_IXb-218d07.p1c:202,563..208,284(-)",N/A
Tb09.v4.0146,Tb09.v4.0146:mRNA,hypothetical protein,protein coding,Tb09.v4.0146,1,2214,tryp_IXb-277d03.p1c:1534..2892(+),"tryp_IXb-277d03.p1c:1,504..3,717(+)",N/A
Tb09.v4.0147,Tb09.v4.0147:mRNA,hypothetical protein,protein coding,Tb09.v4.0147,1,1353,tryp_IXb-277d03.p1c:4664..5986(+),"tryp_IXb-277d03.p1c:4,634..5,986(+)",N/A
Tb09.v4.0148,Tb09.v4.0148:mRNA,hypothetical protein,protein coding,Tb09.v4.0148,1,1335,tryp_IXb-277d03.p1c:7760..9064(+),"tryp_IXb-277d03.p1c:7,730..9,064(+)",N/A
Tb09.v4.0149,Tb09.v4.0149:mRNA,hypothetical protein,protein coding,Tb09.v4.0149,1,1263,tryp_IXb-277d03.p1c:10858..12090(+),"tryp_IXb-277d03.p1c:10,828..12,090(+)",N/A
Tb09.v4.0150,Tb09.v4.0150:pseudogenic_transcript,"variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb09.v4.0150,1,1095,tryp_IXb-314f06.q1c:4095..5162(-),"tryp_IXb-314f06.q1c:4,095..5,189(-)",N/A
Tb09.v4.0151,Tb09.v4.0151:mRNA,hypothetical protein,protein coding,Tb09.v4.0151,1,3678,tryp_IXb-314f06.q1c:15124..15924(+),"tryp_IXb-314f06.q1c:15,079..18,756(+)",N/A
Tb09.v4.0152,Tb09.v4.0152:mRNA,hypothetical protein,protein coding,Tb09.v4.0152,1,3493,tryp_IXb-314f06.q1c:20971..21363(+),"tryp_IXb-314f06.q1c:17,871..21,363(+)",N/A
Tb10.v4.0032,Tb10.v4.0032:mRNA,"expression site- associated gene 3 (ESAG3) protein, putative",protein coding,Tb10.v4.0032,1,2325,TP3F6-6f06.p1k:452..1759(-),"TP3F6-6f06.p1k:452..2,776(-)",N/A
Tb10.v4.0033,Tb10.v4.0033:mRNA,pumillo RNA binding protein PUF1,protein coding,Tb10.v4.0033,1,3739,TP3F6-6f06.p1k:7434..9152(-),"TP3F6-6f06.p1k:5,641..9,379(-)",PUF1
Tb10.v4.0034,Tb10.v4.0034:mRNA,"SAP domain containing protein, putative",protein coding,Tb10.v4.0034,1,919,TP3F6-6f06.p1k:10004..10867(-),"TP3F6-6f06.p1k:10,004..10,922(-)",N/A
Tb10.v4.0035,Tb10.v4.0035:mRNA,"stress-inducible protein STI1-like, putative",protein coding,Tb10.v4.0035,1,1106,TP3F6-6f06.p1k:11338..12111(-),"TP3F6-6f06.p1k:11,063..12,168(-)",N/A
Tb10.v4.0036,Tb10.v4.0036:mRNA,"leucine carboxyl methyltransferase, putative",protein coding,Tb10.v4.0036,1,971,TP3F6-6f06.p1k:12429..13331(-),"TP3F6-6f06.p1k:12,429..13,399(-)",N/A
Tb10.v4.0037,Tb10.v4.0037:mRNA,"hypothetical protein, conserved",protein coding,Tb10.v4.0037,1,3612,TP3F6-6f06.p1k:13800..17167(-),"TP3F6-6f06.p1k:13,554..17,167(-)",N/A
Tb10.v4.0039,Tb10.v4.0039:mRNA,"hypothetical protein, conserved",protein coding,Tb10.v4.0039,1,3024,TP3F6-6f06.p1k:19395..22367(-),"TP3F6-6f06.p1k:19,385..22,408(-)",N/A
Tb10.v4.0041,Tb10.v4.0041:mRNA,"PUB domain containing protein, putative",protein coding,Tb10.v4.0041,1,1091,TP3F6-6f06.p1k:24196..25272(-),"TP3F6-6f06.p1k:24,196..25,286(-)",N/A
Tb10.v4.0042,Tb10.v4.0042:mRNA,hypothetical protein,protein coding,Tb10.v4.0042,1,1550,TP3F6-6h01.p1k:4745..5432(-),"TP3F6-6h01.p1k:4,548..6,098(-)",N/A
Tb10.v4.0043,Tb10.v4.0043:mRNA,"chrX additional, unordered contigs",protein coding,Tb10.v4.0043,1,1131,TP3F6-6h01.p1k:6385..7491(-),"TP3F6-6h01.p1k:6,385..7,515(-)",N/A
Tb10.v4.0044,Tb10.v4.0044:mRNA,"hypothetical protein, conserved",protein coding,Tb10.v4.0044,1,2116,TP3F6-6h01.p1k:8385..10376(-),"TP3F6-6h01.p1k:8,303..10,418(-)",N/A
Tb10.v4.0045,Tb10.v4.0045:mRNA,"prohibitin, putative",protein coding,Tb10.v4.0045,1,1276,TP3F6-6h01.p1k:10823..11710(-),"TP3F6-6h01.p1k:10,550..11,825(-)",N/A
Tb10.v4.0046,Tb10.v4.0046:mRNA,"transporter, putative",protein coding,Tb10.v4.0046,1,1452,TP3F6-6h01.p1k:12199..13650(-),"TP3F6-6h01.p1k:12,199..13,650(-)",N/A
Tb10.v4.0052,Tb10.v4.0052:mRNA,microtubule-associated protein 2,protein coding,Tb10.v4.0052,1,14643,Tp_ends-39g01.p1k:50..14692(-),"Tp_ends-39g01.p1k:50..14,692(-)",N/A
Tb10.v4.0053,Tb10.v4.0053:mRNA,hypothetical protein,protein coding,Tb10.v4.0053,1,12505,tryp_X-106b08.p1c:3..12359(-),"tryp_X-106b08.p1c:1..12,505(-)",N/A
Tb10.v4.0070,Tb10.v4.0070:mRNA,"variant surface glycoprotein (VSG), putative",protein coding,Tb10.v4.0070,1,1533,tryp_X-179b07.p1c:4531..6063(+),"tryp_X-179b07.p1c:4,531..6,063(+)",N/A
Tb10.v4.0077,Tb10.v4.0077:pseudogenic_transcript,"variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb10.v4.0077,1,1287,tryp_X-188b09.p2kB601:9669..10955(+),"tryp_X-188b09.p2kB601:9,669..10,955(+)",N/A
Tb10.v4.0082,Tb10.v4.0082:mRNA,hypothetical protein,protein coding,Tb10.v4.0082,1,810,tryp_X-188b09.p2kB601:20945..21754(-),"tryp_X-188b09.p2kB601:20,945..21,754(-)",N/A
Tb10.v4.0084,Tb10.v4.0084:pseudogenic_transcript,"variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb10.v4.0084,1,741,tryp_X-206a03.p1c:5203..5943(-),"tryp_X-206a03.p1c:5,203..5,943(-)",N/A
Tb10.v4.0103,Tb10.v4.0103:pseudogenic_transcript,"UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative",protein coding,Tb10.v4.0103,1,969,tryp_X-232f09.q1c:8895..9870(+),"tryp_X-232f09.q1c:8,895..9,870(+)",N/A
Tb10.v4.0125,Tb10.v4.0125:pseudogenic_transcript,"variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb10.v4.0125,1,396,tryp_X-254c10.q1c:61459..61854(-),"tryp_X-254c10.q1c:61,459..61,854(-)",N/A
Tb10.v4.0128,Tb10.v4.0128:mRNA,hypothetical protein,protein coding,Tb10.v4.0128,1,624,tryp_X-264e11.p1c:9988..10611(-),"tryp_X-264e11.p1c:9,988..10,611(-)",N/A
Tb10.v4.0129,Tb10.v4.0129:pseudogenic_transcript,"variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb10.v4.0129,1,501,tryp_X-264e11.p1c:10699..11199(-),"tryp_X-264e11.p1c:10,699..11,199(-)",N/A
Tb10.v4.0130,Tb10.v4.0130:mRNA,hypothetical protein,protein coding,Tb10.v4.0130,1,10245,tryp_X-275g09.p1c:1..10245(+),"tryp_X-275g09.p1c:1..10,245(+)",N/A
Tb10.v4.0134,Tb10.v4.0134:mRNA,"variant surface glycoprotein (VSG), putative",protein coding,Tb10.v4.0134,1,1536,tryp_X-276b11.q1c:7403..8938(+),"tryp_X-276b11.q1c:7,403..8,938(+)",N/A
Tb10.v4.0155,Tb10.v4.0155:pseudogenic_transcript,"variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb10.v4.0155,1,366,tryp_X-302f11.q1ca:61147..61512(-),"tryp_X-302f11.q1ca:61,147..61,512(-)",N/A
Tb10.v4.0156,Tb10.v4.0156:pseudogenic_transcript,"variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb10.v4.0156,1,645,tryp_X-302f11.q1ca:62301..62684(-),"tryp_X-302f11.q1ca:62,040..62,684(-)",N/A
Tb10.v4.0177,Tb10.v4.0177:pseudogenic_transcript,variant surface glycoprotein (point mutated fragment,protein coding,Tb10.v4.0177,1,399,tryp_X-324h11.p1k:44212..44610(+),"tryp_X-324h11.p1k:44,212..44,610(+)",N/A
Tb10.v4.0213,Tb10.v4.0213:mRNA,"expression site-associated protein 1 (ESAG1), putative",protein coding,Tb10.v4.0213,1,992,tryp_X-448g06.q1c:9736..10716(-),"tryp_X-448g06.q1c:9,736..10,727(-)",N/A
Tb10.v4.0214,Tb10.v4.0214:pseudogenic_transcript,"expression site-associated gene 9 (ESAG9 pseudogene), putative",protein coding,Tb10.v4.0214,1,696,tryp_X-448g06.q1c:15223..15885(-),"tryp_X-448g06.q1c:15,223..15,918(-)",N/A
Tb10.v4.0215,Tb10.v4.0215:mRNA,hypothetical protein,protein coding,Tb10.v4.0215,1,3164,tryp_X-448g06.q1c:18121..18603(-),"tryp_X-448g06.q1c:16,478..19,641(-)",N/A
Tb10.v4.0218,Tb10.v4.0218:mRNA,"expression site-associated gene 3 (ESAG3) protein, putative",protein coding,Tb10.v4.0218,1,5572,tryp_X-448g06.q1c:30364..31338(-),"tryp_X-448g06.q1c:28,610..34,181(-)",N/A
Tb10.v4.0219,Tb10.v4.0219:pseudogenic_transcript,"retrotransposon hot spot protein (RHS, pseudogene), putative",protein coding,Tb10.v4.0219,1,696,tryp_X-448g06.q1c:35071..35766(-),"tryp_X-448g06.q1c:35,071..35,766(-)",N/A
