"","howick_p_val","howick_avg_log2FC","howick_pct.1","howick_pct.2","howick_p_val_adj","hutchinson_p_val","hutchinson_avg_log2FC","hutchinson_pct.1","hutchinson_pct.2","hutchinson_p_val_adj","max_pval","minimump_p_val","gene_id","prod_desc","gene_name"
"Tb927.11.1450",0.000596137945788984,1.86397963274182,0.178,0.063,1,5.76746877528159e-51,4.10794017195116,0.682,0.222,5.36259246725683e-47,0.000596137945788984,1.15349375505631e-50,"Tb927.11.1450","2-oxoglutarate dehydrogenase E1 component, putative","N/A"
"Tb927.8.7980",5.83320680292824e-06,1.74065877961632,0.341,0.13,0.0542371568536268,1.74027632900357e-50,3.30532159627063,0.612,0.166,1.61810893070752e-46,5.83320680292824e-06,3.48055265800717e-50,"Tb927.8.7980","Pyrophosphate-energized vacuolar membrane proton pump 2, putative","VP2"
"Tb927.3.3930",8.41077832074641e-14,1.42434243120601,0.289,0.028,7.82034168263001e-10,3.15500926357171e-50,2.38472370894285,0.612,0.166,2.93352761326897e-46,8.41077832074641e-14,6.31001852714345e-50,"Tb927.3.3930","RNA-binding protein","DRBD6B"
"Tb927.11.1800",8.404145971724e-12,0.519610183121901,0.237,0.02,7.81417492450898e-08,3.97791096802326e-50,14.8726758290557,0.888,0.479,3.69866161806803e-46,8.404145971724e-12,7.95582193604654e-50,"Tb927.11.1800","histone H1","N/A"
"Tb927.4.3520",3.13711083570327e-34,0.838858425600892,0.674,0.071,2.9168856550369e-30,1.47014150672817e-49,2.55862440516564,0.618,0.171,1.36693757295586e-45,3.13711083570327e-34,2.94028301345638e-49,"Tb927.4.3520","Amastin surface glycoprotein, putative","N/A"
"Tb927.1.2430",6.10924331280557e-22,1.54707559195779,0.57,0.111,5.68037443224662e-18,3.21106452956064e-49,20.9085052117812,0.924,0.618,2.98564779958548e-45,6.10924331280557e-22,6.42212905912129e-49,"Tb927.1.2430","histone H3, putative","H3"
"Tb927.11.11360",1.31987221125881e-09,0.346498930208686,0.859,0.47,1.22721718202844e-05,2.42109261682508e-48,0.80528255438869,0.941,0.722,2.25113191512396e-44,1.31987221125881e-09,4.8421852336502e-48,"Tb927.11.11360","receptor for activated C kinase 1","RACK1"
"Tb927.3.3330",1.64017591881228e-18,1.96015782739629,0.563,0.123,1.52503556931165e-14,3.51319553941894e-48,1.99160478737856,0.518,0.12,3.26656921255173e-44,1.64017591881228e-18,7.02639107883787e-48,"Tb927.3.3330","heat shock protein 20, putative","HSP20"
"Tb927.10.15120",4.18194340170641e-20,0.97324003678427,0.837,0.348,3.88837097490662e-16,4.11186601810876e-48,2.32637258738904,0.941,0.587,3.82321302363753e-44,4.18194340170641e-20,8.22373203621758e-48,"Tb927.10.15120","40S ribosomal protein S13, putative","N/A"
"Tb927.7.2020",2.38832999629596e-24,2.82387994030651,0.467,0.04,2.22066923055599e-20,1.67408675223287e-47,8.67805878709339,0.353,0.055,1.55656586222612e-43,2.38832999629596e-24,3.34817350446574e-47,"Tb927.7.2020","retrotransposon hot spot protein 7 (RHS7), putative","N/A"
"Tb927.10.3370",6.27499020411014e-09,0.515130955398982,0.326,0.083,5.83448589178161e-05,2.71331982707889e-47,2.10627176042795,0.947,0.681,2.52284477521795e-43,6.27499020411014e-09,5.42663965415781e-47,"Tb927.10.3370","60S acidic ribosomal protein P2, putative","N/A"
"Tb927.11.900",4.36268441842045e-19,1.4964267900934,0.474,0.079,4.05642397224733e-15,3.92180535763732e-47,2.30530986245634,0.488,0.109,3.64649462153118e-43,4.36268441842045e-19,7.84361071527463e-47,"Tb927.11.900","isocitrate dehydrogenase, putative","IDH"
"Tb927.9.8420",8.64333024971668e-14,0.396427087123923,0.83,0.395,8.03656846618657e-10,9.51971541556816e-47,0.571825225263218,0.941,0.585,8.85143139339528e-43,8.64333024971668e-14,1.90394308311363e-46,"Tb927.9.8420","QM-like protein","N/A"
"Tb927.11.5720",1.11218004286478e-23,3.58897083654198,0.452,0.04,1.03410500385567e-19,1.04589226500407e-46,4.52844786963698,0.565,0.152,9.72470628000789e-43,1.11218004286478e-23,2.09178453000814e-46,"Tb927.11.5720","hypothetical protein, conserved","N/A"
"Tb927.8.970",3.28382817019675e-24,0.439783478486117,0.415,0.02,3.05330343264893e-20,1.93276554156926e-46,2.05693809296431,0.612,0.183,1.79708540055109e-42,3.28382817019675e-24,3.86553108313851e-46,"Tb927.8.970","hypothetical protein","N/A"
"Tb927.8.4430",2.44180319152267e-33,0.952455210975613,0.674,0.083,2.27038860747778e-29,3.44220188168703e-46,2.14893175522076,0.606,0.174,3.2005593095926e-42,2.44180319152267e-33,6.88440376337403e-46,"Tb927.8.4430","uridine phosphorylase","N/A"
"Tb927.10.6370",2.2481171668275e-14,0.814388243023865,0.874,0.53,2.09029934171621e-10,3.9526172821716e-46,4.11859420822657,0.941,0.499,3.67514354896315e-42,2.2481171668275e-14,7.90523456434323e-46,"Tb927.10.6370","60S ribosomal proteins L37, putative","N/A"
"Tb927.6.220",1.01152250647325e-14,1.54009238612904,0.289,0.024,9.40513626518831e-11,4.41856868501045e-46,6.00191539550993,0.635,0.192,4.10838516332272e-42,1.01152250647325e-14,8.83713737002089e-46,"Tb927.6.220","purine nucleoside transporter","TbNT9"
"Tb927.7.1730",1.379349734897e-11,0.313317750758693,0.622,0.241,1.28251938350723e-07,1.5136908137185e-45,3.15609728044689,0.965,0.733,1.40742971859546e-41,1.379349734897e-11,3.02738162743703e-45,"Tb927.7.1730","60S ribosomal protein L7, putative","N/A"
"Tb927.10.6510",2.72583812618259e-20,1.79606329026679,0.733,0.304,2.53448428972458e-16,2.36972961729643e-45,4.44545165152152,0.471,0.106,2.20337459816222e-41,2.72583812618259e-20,4.73945923459289e-45,"Tb927.10.6510","chaperonin HSP60, mitochondrial precursor","HSP60"
"Tb927.3.5080",1.48375212544973e-11,1.22477285441945,0.407,0.111,1.37959272624316e-07,4.57593131507065e-45,12.2547928901363,0.618,0.2,4.25470093675269e-41,1.48375212544973e-11,9.15186263014138e-45,"Tb927.3.5080","PSP1 C-terminal conserved region, putative","N/A"
"Tb927.3.860",2.71150276932811e-18,0.267527744746577,0.556,0.126,2.52115527492127e-14,7.30248330224738e-44,2.67425806139857,0.453,0.098,6.78984897442962e-40,2.71150276932811e-18,1.46049666044948e-43,"Tb927.3.860","Acyl carrier protein, mitochondrial","ACP"
"Tb927.10.6070",6.4525728383098e-07,0.721702131860426,0.541,0.229,0.00599960222506045,7.51684596958121e-44,4.30000725945161,0.676,0.244,6.98916338251661e-40,6.4525728383098e-07,1.50336919391625e-43,"Tb927.10.6070","universal minicircle sequence binding protein 1","UMSBP1"
"Tb927.3.1380",0.000121512767638521,0.880852774298704,0.393,0.194,1,1.98907476280859e-42,1.25075534662189,0.412,0.083,1.84944171445942e-38,0.000121512767638521,3.97814952561717e-42,"Tb927.3.1380","ATP synthase subunit beta, mitochondrial","ATPB"
"Tb927.11.880",1.73705136726779e-19,1.72455160119369,0.726,0.261,1.61511036128559e-15,4.21854895148135e-42,7.98110386676799,0.853,0.48,3.92240681508736e-38,1.73705136726779e-19,8.43709790296275e-42,"Tb927.11.880","cyclophilin a","CYPA"
"Tb927.7.2000",1.82642185530319e-25,2.36358395937467,0.496,0.051,1.69820704106091e-21,9.04684416410386e-42,8.60919200580243,0.329,0.055,8.41175570378376e-38,1.82642185530319e-25,1.80936883282077e-41,"Tb927.7.2000","retrotransposon hot spot protein 7 (RHS7), putative","N/A"
"Tb927.6.2490",0.000256542619656068,3.80449186176407,0.126,0.032,1,1.98849302683752e-41,5.22950166943594,0.647,0.219,1.84890081635353e-37,0.000256542619656068,3.97698605367503e-41,"Tb927.6.2490","succinate dehydrogenase subunit 7","SDH7"
"Tb927.9.13820",4.82637183204216e-26,0.419674514884756,0.681,0.146,4.4875605294328e-22,2.33007688755533e-41,9.02158600646179,0.812,0.437,2.16650549004894e-37,4.82637183204216e-26,4.66015377511063e-41,"Tb927.9.13820","kinetoplastid membrane protein 11-3","KMP11-3"
"Tb927.2.240",1.0957746463691e-16,1.34198586870078,0.585,0.174,1.01885126619399e-12,8.08447258256641e-41,2.56234260238141,0.529,0.148,7.51694260727025e-37,1.0957746463691e-16,1.61689451651329e-40,"Tb927.2.240","retrotransposon hot spot protein 5 (RHS5), putative","RHS5"
"Tb927.7.5400",5.17802403200528e-23,1.22931340608795,0.496,0.059,4.81452674495851e-19,1.28745840502545e-40,0.892893904895849,0.329,0.054,1.19707882499266e-36,5.17802403200528e-23,2.57491681005091e-40,"Tb927.7.5400","hypothetical protein, conserved","N/A"
"Tb927.2.5650",1.24634437889043e-08,1.45484541886534,0.2,0.028,0.000115885100349232,3.26240288159054e-40,0.957974202726781,0.353,0.061,3.03338219930289e-36,1.24634437889043e-08,6.52480576318111e-40,"Tb927.2.5650","hypothetical protein, conserved","N/A"
"Tb927.6.3740",6.67120493972453e-14,0.525227711404107,0.593,0.174,6.20288635295587e-10,5.90275326779142e-40,3.59114173237148,0.629,0.231,5.48837998839246e-36,6.67120493972453e-14,1.18055065355829e-39,"Tb927.6.3740","heat shock 70 kDa protein, mitochondrial precursor, putative","MtHSP70A"
"Tb927.4.4380",4.09294268589828e-07,1.01103798040617,0.474,0.209,0.00380561810934822,6.08938658514891e-39,2.59545632408948,0.582,0.184,5.66191164687146e-35,4.09294268589828e-07,1.21787731702979e-38,"Tb927.4.4380","Pyrophosphate-energized vacuolar membrane proton pump 1","VP1"
"Tb927.9.2020",3.9005573505107e-19,0.532804885667149,0.844,0.308,3.62673822450485e-15,8.17936055251597e-39,3.12454337204922,0.759,0.367,7.60516944172935e-35,3.9005573505107e-19,1.6358721105032e-38,"Tb927.9.2020","60S ribosomal protein L38, putative","N/A"
"Tb927.10.11970",4.23266360877068e-16,1.63935897733801,0.444,0.091,3.93553062343497e-12,1.17768409768417e-38,2.94697507692737,0.312,0.051,1.09501067402674e-34,4.23266360877068e-16,2.35536819536834e-38,"Tb927.10.11970","glutamine aminotransferase (GlnAT)","GlnAT"
"Tb927.2.400",5.00557160869181e-14,2.1374436227858,0.504,0.154,4.65418048176165e-10,4.46625896969159e-38,8.57855252555916,0.871,0.498,4.15272759001924e-34,5.00557160869181e-14,8.93251793938324e-38,"Tb927.2.400","retrotransposon hot spot protein 2 (RHS2), putative","RHS2"
"Tb927.1.3180",1.73642083741662e-15,0.837540928163072,0.815,0.387,1.61452409462998e-11,8.61558780755571e-38,2.66292599300389,0.835,0.448,8.0107735434653e-34,1.73642083741662e-15,1.72311756151115e-37,"Tb927.1.3180","40S ribosomal protein S11, putative","S11"
"Tb927.5.1110",1.19651941658044e-14,0.710543859226425,0.852,0.427,1.11252375353649e-10,2.51752996946982e-37,6.29641946756884,0.912,0.605,2.34079936561304e-33,1.19651941658044e-14,5.03505993893966e-37,"Tb927.5.1110","60S ribosomal protein L8, putative","N/A"
"Tb927.7.1090",4.07353764447766e-13,1.11801362970835,0.378,0.079,3.78757530183533e-09,1.09876658290346e-36,1.38297749140916,0.412,0.094,1.02163316878364e-32,4.07353764447766e-13,2.19753316580693e-36,"Tb927.7.1090","DNA repair protein RAD5, putative","RAD5"
"Tb927.11.11330",1.28489830122309e-08,0.330486037488305,0.8,0.474,0.000119469844047723,2.90390572854166e-36,12.4911181449231,0.876,0.573,2.70005154639803e-32,1.28489830122309e-08,5.8078114570833e-36,"Tb927.11.11330","heat shock protein 70","HSP70"
"Tb927.1.70",1.61726754496611e-20,0.972535208789175,0.556,0.111,1.50373536330949e-16,1.05768644865527e-35,3.16008905005765,0.682,0.281,9.83436859959666e-32,1.61726754496611e-20,2.11537289731052e-35,"Tb927.1.70","retrotransposon hot spot protein 4 (RHS4), putative","RHS4"
"Tb927.9.5150",6.45013092518331e-12,2.15144230909159,0.578,0.225,5.99733173423544e-08,2.77686494473209e-35,7.50198531393153,0.612,0.233,2.5819290256119e-31,6.45013092518331e-12,5.55372988946423e-35,"Tb927.9.5150","ribosomal protein S6, putative","NHP2"
"Tb927.11.2650",1.20159510863474e-09,0.570046727637518,0.4,0.123,1.11724313200858e-05,3.57253447411701e-35,1.56101181185813,0.435,0.108,3.321742554034e-31,1.20159510863474e-09,7.14506894823407e-35,"Tb927.11.2650","heat shock protein 84, putative","N/A"
"Tb927.9.14370",4.34050643067882e-21,0.707876207209832,0.881,0.435,4.03580287924517e-17,1.02961708204537e-34,1.00675182292865,0.812,0.455,9.57337962885781e-31,4.34050643067882e-21,2.05923416409075e-34,"Tb927.9.14370","60S ribosomal protein L26, putative","N/A"
"Tb927.11.9590",1.01391764884503e-08,1.56974211741557,0.489,0.217,9.42740629896111e-05,4.27908480471281e-34,2.55042006435768,0.512,0.16,3.97869305142197e-30,1.01391764884503e-08,8.55816960942569e-34,"Tb927.11.9590","S-adenosylhomocysteine hydrolase, putative","N/A"
"Tb927.7.7180",8.83386545281519e-29,2.92307207106404,0.578,0.067,8.21372809802756e-25,1.69372182430314e-33,6.95982195979931,0.447,0.125,1.57482255223706e-29,8.83386545281519e-29,3.3874436486063e-33,"Tb927.7.7180","leucine-rich repeat protein 1 (LRRP1), putative","N/A"
"Tb927.10.4760",7.77338484391466e-16,1.57414335169139,0.407,0.071,7.22769322787185e-12,3.55639775320981e-33,0.493376401552233,0.253,0.037,3.30673863093448e-29,7.77338484391466e-16,7.11279550641962e-33,"Tb927.10.4760","Integral membrane protein DUF106, putative","N/A"
"Tb927.10.8230",2.37348390109978e-18,2.39023166826632,0.407,0.051,2.20686533124258e-14,4.89857550958595e-33,1.28964493447529,0.6,0.214,4.55469550881302e-29,2.37348390109978e-18,9.79715101917195e-33,"Tb927.10.8230","protein disulfide isomerase 2","PDI2"
"Tb927.11.9120",7.13930035703691e-16,1.60657041071108,0.407,0.075,6.63812147197292e-12,8.49793903226603e-33,1.33668816505208,0.235,0.033,7.90138371220096e-29,7.13930035703691e-16,1.69958780645321e-32,"Tb927.11.9120","SNF2 family N-terminal domain/Ring finger domain containing protein, putative","N/A"
"Tb927.11.3080",4.63099075771999e-19,3.94624370288666,0.378,0.036,4.30589520652805e-15,9.34938021176222e-33,1.19519954306793,0.335,0.069,8.69305372089651e-29,4.63099075771999e-19,1.86987604235245e-32,"Tb927.11.3080","vesicular protein trafficking mediator, putative","N/A"
"Tb927.7.7110",4.02803571236234e-26,2.54706448294713,0.585,0.091,3.74526760535451e-22,1.06124004786829e-32,6.56992139608841,0.394,0.098,9.86740996507939e-29,4.02803571236234e-26,2.12248009573659e-32,"Tb927.7.7110","leucine-rich repeat protein (LRRP), putative","N/A"
"Tb927.11.6590",5.02238355710305e-09,2.5582529155262,0.422,0.162,4.66981223139441e-05,3.56573634402341e-32,1.17243995840331,0.359,0.081,3.31542165267296e-28,5.02238355710305e-09,7.13147268804679e-32,"Tb927.11.6590","metallo-peptidase, Clan MF, Family M17","N/A"
"Tb927.4.1100",4.51487284410862e-16,0.529900722752222,0.889,0.455,4.1979287704522e-12,3.71605047062621e-32,2.69691461789848,0.818,0.459,3.45518372758825e-28,4.51487284410862e-16,7.43210094125247e-32,"Tb927.4.1100","ribosomal protein L21E (60S), putative","N/A"
"Tb927.11.13190",1.9867171131332e-23,1.9340236942613,0.63,0.146,1.84724957179125e-19,2.28748283397262e-31,0.929522183052305,0.365,0.084,2.12690153902775e-27,1.9867171131332e-23,4.57496566794528e-31,"Tb927.11.13190","elongation factor 1 gamma, putative","N/A"
"Tb927.2.6070",2.34477303927007e-17,3.37201036456592,0.496,0.107,2.18016997191331e-13,3.1437866523633e-31,2.92477287358823,0.518,0.171,2.9230928293674e-27,2.34477303927007e-17,6.28757330472663e-31,"Tb927.2.6070","mitochondrial RNA binding complex 1 subunit","MRB6070"
"Tb927.4.2530",1.00113499955106e-13,0.594636970216609,0.711,0.344,9.30855322582576e-10,4.57730075696341e-31,5.11644788375895,0.794,0.443,4.25597424382458e-27,1.00113499955106e-13,9.15460151392685e-31,"Tb927.4.2530","hypothetical protein, conserved","N/A"
"Tb927.11.4300",3.24640226242496e-22,1.69540362402753,0.896,0.482,3.01850482360272e-18,8.48050387363964e-31,0.930821190899463,0.871,0.52,7.88517250171014e-27,3.24640226242496e-22,1.69610077472793e-30,"Tb927.11.4300","60S ribosomal protein L18, putative","RPL18"
"Tb927.9.5730",4.87142285428609e-10,0.789905671155761,0.622,0.304,4.5294489699152e-06,1.03936766804801e-30,1.85322116783774,0.541,0.195,9.66404057751043e-27,4.87142285428609e-10,2.07873533609602e-30,"Tb927.9.5730","nucleosome assembly protein-like protein","N/A"
"Tb927.5.580",2.14262683725886e-24,0.253900210008508,0.689,0.182,1.99221443328329e-20,1.8960548330505e-30,2.10507394210917,0.435,0.125,1.76295178377035e-26,2.14262683725886e-24,3.792109666101e-30,"Tb927.5.580","prefoldin subunit, putative","N/A"
"Tb927.9.3100",3.08802774969926e-15,2.34350800033386,0.356,0.051,2.87124820167037e-11,2.01572371613626e-30,1.56274003707084,0.359,0.083,1.87421991126349e-26,3.08802774969926e-15,4.0314474322725e-30,"Tb927.9.3100","hypothetical protein, conserved","N/A"
