gene.id,location,product.desc,gene.type,input.id,gene.name
Tb09.v4.0064,"tryp_IXb-1c10.p1c:10,897..13,718(+)",hypothetical protein,protein coding,Tb09.v4.0064,N/A
Tb09.v4.0065,"tryp_IXb-1c10.p1c:14,768..15,749(-)","expression site-associated gene 1 (ESAG 1), putative",protein coding,Tb09.v4.0065,N/A
Tb09.v4.0066,"tryp_IXb-217g08.q1c:624..5,154(+)",hypothetical protein,protein coding,Tb09.v4.0066,N/A
Tb09.v4.0067,"tryp_IXb-217g08.q1c:5,188..6,881(-)","retrotransposon hot spot protein, pseudogene",protein coding,Tb09.v4.0067,N/A
Tb09.v4.0083,"tryp_IXb-217g08.q1c:60,642..61,655(+)","expression site-associated gene 3 (ESAG3), pseudogene",protein coding,Tb09.v4.0083,N/A
Tb09.v4.0104,"tryp_IXb-218d07.p1c:52,495..54,701(-)","leucine-rich repeat protein 1 (LRRP1), fragment",protein coding,Tb09.v4.0104,N/A
Tb09.v4.0105,"tryp_IXb-218d07.p1c:58,803..60,664(-)",hypothetical protein,protein coding,Tb09.v4.0105,N/A
Tb09.v4.0106,"tryp_IXb-218d07.p1c:69,663..72,842(+)","nucleoside transporter 1, putative",protein coding,Tb09.v4.0106,N/A
Tb09.v4.0107,"tryp_IXb-218d07.p1c:86,848..88,417(+)","expression site-associated gene 5 (ESAG5) protein, putative",protein coding,Tb09.v4.0107,N/A
Tb09.v4.0109,"tryp_IXb-218d07.p1c:92,013..92,989(+)",hypothetical protein,protein coding,Tb09.v4.0109,N/A
Tb09.v4.0143,"tryp_IXb-218d07.p1c:202,563..208,284(-)","variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb09.v4.0143,N/A
Tb09.v4.0146,"tryp_IXb-277d03.p1c:1,504..3,717(+)",hypothetical protein,protein coding,Tb09.v4.0146,N/A
Tb09.v4.0147,"tryp_IXb-277d03.p1c:4,634..5,986(+)",hypothetical protein,protein coding,Tb09.v4.0147,N/A
Tb09.v4.0148,"tryp_IXb-277d03.p1c:7,730..9,064(+)",hypothetical protein,protein coding,Tb09.v4.0148,N/A
Tb09.v4.0149,"tryp_IXb-277d03.p1c:10,828..12,090(+)",hypothetical protein,protein coding,Tb09.v4.0149,N/A
Tb09.v4.0150,"tryp_IXb-314f06.q1c:4,095..5,189(-)","variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb09.v4.0150,N/A
Tb09.v4.0151,"tryp_IXb-314f06.q1c:15,079..18,756(+)",hypothetical protein,protein coding,Tb09.v4.0151,N/A
Tb09.v4.0152,"tryp_IXb-314f06.q1c:17,871..21,363(+)",hypothetical protein,protein coding,Tb09.v4.0152,N/A
Tb10.v4.0032,"TP3F6-6f06.p1k:452..2,776(-)","expression site- associated gene 3 (ESAG3) protein, putative",protein coding,Tb10.v4.0032,N/A
Tb10.v4.0033,"TP3F6-6f06.p1k:5,641..9,379(-)",pumillo RNA binding protein PUF1,protein coding,Tb10.v4.0033,PUF1
Tb10.v4.0034,"TP3F6-6f06.p1k:10,004..10,922(-)","SAP domain containing protein, putative",protein coding,Tb10.v4.0034,N/A
Tb10.v4.0035,"TP3F6-6f06.p1k:11,063..12,168(-)","stress-inducible protein STI1-like, putative",protein coding,Tb10.v4.0035,N/A
Tb10.v4.0036,"TP3F6-6f06.p1k:12,429..13,399(-)","leucine carboxyl methyltransferase, putative",protein coding,Tb10.v4.0036,N/A
Tb10.v4.0037,"TP3F6-6f06.p1k:13,554..17,167(-)","hypothetical protein, conserved",protein coding,Tb10.v4.0037,N/A
Tb10.v4.0039,"TP3F6-6f06.p1k:19,385..22,408(-)","hypothetical protein, conserved",protein coding,Tb10.v4.0039,N/A
Tb10.v4.0041,"TP3F6-6f06.p1k:24,196..25,286(-)","PUB domain containing protein, putative",protein coding,Tb10.v4.0041,N/A
Tb10.v4.0042,"TP3F6-6h01.p1k:4,548..6,098(-)",hypothetical protein,protein coding,Tb10.v4.0042,N/A
Tb10.v4.0043,"TP3F6-6h01.p1k:6,385..7,515(-)","chrX additional, unordered contigs",protein coding,Tb10.v4.0043,N/A
Tb10.v4.0044,"TP3F6-6h01.p1k:8,303..10,418(-)","hypothetical protein, conserved",protein coding,Tb10.v4.0044,N/A
Tb10.v4.0045,"TP3F6-6h01.p1k:10,550..11,825(-)","prohibitin, putative",protein coding,Tb10.v4.0045,N/A
Tb10.v4.0046,"TP3F6-6h01.p1k:12,199..13,650(-)","transporter, putative",protein coding,Tb10.v4.0046,N/A
Tb10.v4.0052,"Tp_ends-39g01.p1k:50..14,692(-)",microtubule-associated protein 2,protein coding,Tb10.v4.0052,N/A
Tb10.v4.0053,"tryp_X-106b08.p1c:1..12,505(-)",hypothetical protein,protein coding,Tb10.v4.0053,N/A
Tb10.v4.0070,"tryp_X-179b07.p1c:4,531..6,063(+)","variant surface glycoprotein (VSG), putative",protein coding,Tb10.v4.0070,N/A
Tb10.v4.0077,"tryp_X-188b09.p2kB601:9,669..10,955(+)","variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb10.v4.0077,N/A
Tb10.v4.0082,"tryp_X-188b09.p2kB601:20,945..21,754(-)",hypothetical protein,protein coding,Tb10.v4.0082,N/A
Tb10.v4.0084,"tryp_X-206a03.p1c:5,203..5,943(-)","variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb10.v4.0084,N/A
Tb10.v4.0103,"tryp_X-232f09.q1c:8,895..9,870(+)","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative",protein coding,Tb10.v4.0103,N/A
Tb10.v4.0125,"tryp_X-254c10.q1c:61,459..61,854(-)","variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb10.v4.0125,N/A
Tb10.v4.0128,"tryp_X-264e11.p1c:9,988..10,611(-)",hypothetical protein,protein coding,Tb10.v4.0128,N/A
Tb10.v4.0129,"tryp_X-264e11.p1c:10,699..11,199(-)","variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb10.v4.0129,N/A
Tb10.v4.0130,"tryp_X-275g09.p1c:1..10,245(+)",hypothetical protein,protein coding,Tb10.v4.0130,N/A
Tb10.v4.0134,"tryp_X-276b11.q1c:7,403..8,938(+)","variant surface glycoprotein (VSG), putative",protein coding,Tb10.v4.0134,N/A
Tb10.v4.0155,"tryp_X-302f11.q1ca:61,147..61,512(-)","variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb10.v4.0155,N/A
Tb10.v4.0156,"tryp_X-302f11.q1ca:62,040..62,684(-)","variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb10.v4.0156,N/A
Tb10.v4.0177,"tryp_X-324h11.p1k:44,212..44,610(+)",variant surface glycoprotein (point mutated fragment,protein coding,Tb10.v4.0177,N/A
Tb10.v4.0213,"tryp_X-448g06.q1c:9,736..10,727(-)","expression site-associated protein 1 (ESAG1), putative",protein coding,Tb10.v4.0213,N/A
Tb10.v4.0214,"tryp_X-448g06.q1c:15,223..15,918(-)","expression site-associated gene 9 (ESAG9 pseudogene), putative",protein coding,Tb10.v4.0214,N/A
Tb10.v4.0215,"tryp_X-448g06.q1c:16,478..19,641(-)",hypothetical protein,protein coding,Tb10.v4.0215,N/A
Tb10.v4.0218,"tryp_X-448g06.q1c:28,610..34,181(-)","expression site-associated gene 3 (ESAG3) protein, putative",protein coding,Tb10.v4.0218,N/A
Tb10.v4.0219,"tryp_X-448g06.q1c:35,071..35,766(-)","retrotransposon hot spot protein (RHS, pseudogene), putative",protein coding,Tb10.v4.0219,N/A
Tb10.v4.0220,"tryp_X-448g06.q1c:36,829..37,831(-)","retrotransposon hot spot protein (RHS, pseudogene), putative",protein coding,Tb10.v4.0220,N/A
Tb10.v4.0221,"tryp_X-448g06.q1c:39,658..40,903(-)",hypothetical protein,protein coding,Tb10.v4.0221,N/A
Tb10.v4.0245,"tryp_X-68d04.q1c:202..1,766(+)",hypothetical protein,protein coding,Tb10.v4.0245,N/A
Tb10.v4.0246,"tryp_X-68d04.q1c:2,803..4,791(+)",hypothetical protein,protein coding,Tb10.v4.0246,N/A
Tb10.v4.0247,"tryp_X-68d04.q1c:6,449..8,851(+)","s-adenosyl-L-methionine-c-24-delta-sterol-methyl transferase a, putative",protein coding,Tb10.v4.0247,N/A
Tb10.v4.0248,"tryp_X-68d04.q1c:9,003..10,102(+)",hypothetical protein,protein coding,Tb10.v4.0248,N/A
Tb10.v4.0249,"tryp_X-68d04.q1c:11,206..14,739(+)","Cullin family/Cullin protein neddylation domain containing protein, putative",protein coding,Tb10.v4.0249,N/A
Tb10.v4.0250,"tryp_X-68d04.q1c:14,751..15,887(-)","variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb10.v4.0250,N/A
Tb10.v4.0251,"tryp_X-76f06.p1c:935..2,728(+)","variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb10.v4.0251,N/A
Tb11.01.1680.v5,"Tb927_11_bin_v5.1:1,115,353..1,122,394(+)","polyubiquitin, putative",protein coding,Tb11.01.1680.v5,N/A
Tb11.01.2730,"Tb927_11_v5.1:2,924,995..2,933,789(+)","hypothetical protein, conserved",protein coding,Tb11.01.2730,N/A
Tb11.01.6240,"Tb927_11_v5.1:3,882,531..3,883,913(+)","expression site-associated gene 2 (ESAG2) protein, putative",protein coding,Tb11.01.6240,N/A
Tb11.01.6241,"Tb927_11_bin_v5.1:5,410,283..5,411,665(+)","expression site-associated gene (ESAG) protein, putative",protein coding,Tb11.01.6241,N/A
Tb11.01.6250,"Tb927_11_v5.1:3,884,100..3,887,100(+)","expression site-associated gene 11 (ESAG11) protein, putative",protein coding,Tb11.01.6250,N/A
Tb11.01.6251,"Tb927_11_bin_v5.1:5,411,852..5,412,974(+)","expression site-associated gene 11 (ESAG11) protein, putative",protein coding,Tb11.01.6251,N/A
Tb11.02.5060b,"Tb927_11_bin_v5.1:624,382..628,342(-)","SNF2 DNA repair protein, putative",protein coding,Tb11.02.5060b,N/A
Tb11.02.5070b,"Tb927_11_bin_v5.1:628,368..629,499(-)","hypothetical protein, conserved",protein coding,Tb11.02.5070b,N/A
Tb11.02.5080b,"Tb927_11_bin_v5.1:629,758..630,956(-)","Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative",protein coding,Tb11.02.5080b,N/A
Tb11.02.5090b,"Tb927_11_bin_v5.1:634,873..635,643(+)","proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene",protein coding,Tb11.02.5090b,N/A
Tb11.02.5100b,"Tb927_11_bin_v5.1:635,802..637,467(+)","hypothetical protein, conserved",protein coding,Tb11.02.5100b,N/A
Tb11.02.5105b,"Tb927_11_bin_v5.1:637,604..638,047(+)","hypothetical protein, conserved",protein coding,Tb11.02.5105b,N/A
Tb11.02.5110b,"Tb927_11_bin_v5.1:638,459..639,798(+)","origin recognition complex subunit 1 (ORC1), putative",protein coding,Tb11.02.5110b,N/A
Tb11.02.5120b,"Tb927_11_bin_v5.1:640,008..642,868(+)","mitochondrial edited mRNA stability factor 1 subunit, putative",protein coding,Tb11.02.5120b,N/A
Tb11.02.5130b,"Tb927_11_bin_v5.1:643,110..645,880(+)","neurobeachin/beige protein, putative (fragment)",protein coding,Tb11.02.5130b,N/A
Tb11.02.5360,"Tb927_11_v5.1:2,096,313..2,097,920(+)","hypothetical protein, conserved",protein coding,Tb11.02.5360,N/A
Tb11.02.5360b,"Tb927_11_bin_v5.1:647,071..648,146(+)","hypothetical protein, conserved",protein coding,Tb11.02.5360b,N/A
Tb11.02.5370,"Tb927_11_v5.1:2,097,609..2,099,407(+)","hypothetical protein, conserved",protein coding,Tb11.02.5370,N/A
Tb11.02.5380,"Tb927_11_v5.1:2,099,504..2,102,422(+)",exosome complex exonuclease RRP44p homologue,protein coding,Tb11.02.5380,RRP44
Tb11.02.5380b,"Tb927_11_bin_v5.1:650,262..653,180(+)","exosome complex exonuclease RRP44p homologue, putative",protein coding,Tb11.02.5380b,N/A
Tb11.02.5390,"Tb927_11_v5.1:2,102,759..2,106,050(+)",Guide RNA binding complex protein 4,protein coding,Tb11.02.5390,GRBC4
Tb11.02.5390b,"Tb927_11_bin_v5.1:653,517..656,808(+)","mRNA processing protein, putative",protein coding,Tb11.02.5390b,N/A
Tb11.02.5400,"Tb927_11_v5.1:2,106,628..2,107,839(+)","cystathionine beta-synthase, putative",protein coding,Tb11.02.5400,N/A
Tb11.02.5400b,"Tb927_11_bin_v5.1:657,385..659,237(+)","cystathionine beta-synthase, putative",protein coding,Tb11.02.5400b,N/A
Tb11.02.5410,"Tb927_11_v5.1:2,109,004..2,109,898(+)","ubiquitin activating enzyme (E1) subunit Aos1, putative",protein coding,Tb11.02.5410,AOS1
Tb11.02.5410b,"Tb927_11_bin_v5.1:659,766..660,660(+)","ubiquitin activating enzyme, putative",protein coding,Tb11.02.5410b,N/A
Tb11.02.5420,"Tb927_11_v5.1:2,110,579..2,112,772(-)","NADPH-cytochrome p450 reductase, putative",protein coding,Tb11.02.5420,CPR
Tb11.02.5420b,"Tb927_11_bin_v5.1:660,751..663,533(-)","NADPH-cytochrome p450 reductase, putative",protein coding,Tb11.02.5420b,N/A
Tb11.02.5430,"Tb927_11_v5.1:2,114,083..2,115,378(-)","hypothetical protein, conserved",protein coding,Tb11.02.5430,N/A
Tb11.02.5430b,"Tb927_11_bin_v5.1:664,844..666,139(-)","hypothetical protein, conserved",protein coding,Tb11.02.5430b,N/A
Tb11.02.5440b,"Tb927_11_bin_v5.1:666,463..668,198(-)",SUMO-interacting motif-containing protein,protein coding,Tb11.02.5440b,N/A
Tb11.0290,"tryp_XI-1036e06.p1k:1,731..2,390(+)","chrXI additional, unordered contigs",protein coding,Tb11.0290,RPS14
Tb11.0300,"tryp_XI-1036e06.p1k:3,677..4,461(+)",hypothetical protein,protein coding,Tb11.0300,N/A
Tb11.0310,"tryp_XI-1036e06.p1k:5,380..6,420(+)",hypothetical protein,protein coding,Tb11.0310,N/A
Tb11.0320,"tryp_XI-1036e06.p1k:7,189..10,111(+)",hypothetical protein,protein coding,Tb11.0320,N/A
Tb11.0330,"tryp_XI-1036e06.p1k:10,367..12,996(+)","Cornifin (SPRR) family, putative",protein coding,Tb11.0330,N/A
Tb11.0340,"tryp_XI-1036e06.p1k:13,177..14,908(+)",hypothetical protein,protein coding,Tb11.0340,N/A
Tb11.0350,"tryp_XI-1036e06.p1k:15,455..17,223(+)",hypothetical protein,protein coding,Tb11.0350,N/A
Tb11.0360,"tryp_XI-1036e06.p1k:17,537..20,240(+)","chrXI additional, unordered contigs",protein coding,Tb11.0360,N/A
Tb11.0370,"tryp_XI-1036e06.p1k:21,266..24,854(+)","chrXI additional, unordered contigs",protein coding,Tb11.0370,N/A
Tb11.0380,"tryp_XI-1036e06.p1k:25,233..26,986(+)","chrXI additional, unordered contigs",protein coding,Tb11.0380,N/A
Tb11.0390,"tryp_XI-1036e06.p1k:29,081..29,734(+)","chrXI additional, unordered contigs",protein coding,Tb11.0390,RPS14
Tb11.0400,"tryp_XI-1036e06.p1k:31,022..32,483(+)","P27 protein, putative",protein coding,Tb11.0400,P27
Tb11.0410,"tryp_XI-1036e06.p1k:32,839..33,764(+)",hypothetical protein,protein coding,Tb11.0410,N/A
Tb11.0420,"tryp_XI-1036e06.p1k:34,536..35,719(+)",hypothetical protein,protein coding,Tb11.0420,N/A
Tb11.0520,"tryp_XI-1084b11.p1k:1,702..2,628(-)","dynein light chain, putative",protein coding,Tb11.0520,N/A
Tb11.0530,"tryp_XI-1084b11.p1k:2,979..4,536(-)",epsilon tubulin,protein coding,Tb11.0530,N/A
Tb11.0550,"tryp_XI-1084b11.p1k:8,382..8,993(-)","hypothetical protein, conserved",protein coding,Tb11.0550,N/A
Tb11.0560,"tryp_XI-1084b11.p1k:9,087..13,523(-)","hypothetical protein, conserved",protein coding,Tb11.0560,N/A
Tb11.0820,"tryp_XI-1152c10.p2kA602:5,867..11,290(-)","retrotransposon hot spot protein 4 (RHS4, pseudogene), putative",protein coding,Tb11.0820,N/A
Tb11.0840,"tryp_XI-147f01.q1ca:1,388..2,622(+)",hypothetical protein,protein coding,Tb11.0840,N/A
Tb11.0845,"tryp_XI-147f01.q1ca:2,731..3,890(+)","dynein light chain LC8, putative",protein coding,Tb11.0845,DYNLL2
Tb11.0850,"tryp_XI-147f01.q1ca:4,028..5,351(+)","SCAMP family, putative",protein coding,Tb11.0850,N/A
Tb11.0860,"tryp_XI-147f01.q1ca:6,352..7,559(+)",hypothetical protein,protein coding,Tb11.0860,N/A
Tb11.0870,"tryp_XI-147f01.q1ca:7,672..9,804(+)",hypothetical protein,protein coding,Tb11.0870,N/A
Tb11.0880,"tryp_XI-147f01.q1ca:10,188..10,764(+)","chrXI additional, unordered contigs",protein coding,Tb11.0880,N/A
Tb11.0890,"tryp_XI-147f01.q1ca:10,908..12,671(+)","epsin, putative",protein coding,Tb11.0890,N/A
Tb11.1040,"tryp_XI-311f03.p2k913w:6,089..7,560(+)","variant surface glycoprotein (VSG), putative",protein coding,Tb11.1040,N/A
Tb11.1110,"tryp_XI-339b02.q2k2024:7,415..9,248(+)","variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb11.1110,N/A
Tb11.1180,"tryp_XI-374h12.q2kA203:15,116..16,951(+)","variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb11.1180,N/A
Tb11.1190,"tryp_XI-390c04.p2kA614:531..10,553(+)",hypothetical protein,protein coding,Tb11.1190,N/A
Tb11.1200,"tryp_XI-390c04.p2kA614:10,574..13,291(+)",hypothetical protein,protein coding,Tb11.1200,N/A
Tb11.1210,"tryp_XI-396e01.q2k3025:405..2,177(+)",hypothetical protein,protein coding,Tb11.1210,N/A
Tb11.1220,"tryp_XI-396e01.q2k3025:2,346..4,951(+)",hypothetical protein,protein coding,Tb11.1220,N/A
Tb11.1230,"tryp_XI-396e01.q2k3025:5,353..8,064(+)",Component of motile flagella 16,protein coding,Tb11.1230,CMF16
Tb11.1240,"tryp_XI-396e01.q2k3025:10,268..11,487(+)","methionine aminopeptidase, type I, putative",protein coding,Tb11.1240,N/A
